# enricher v3.3.1
# Feature file:  miniexExample_featureFileGO.out
# Gene set file: miniexExample_setFileRegulons.out
# Input: n_gen=1548,  n_set=61, n_ftr=2392
# Options: min-hits=2 fdr=0.05 find-depleted=0
#          min-genes=1 max-genes=1548
#          min-information-content=0 max-information-content=1
# Background: 4999 genes used in background (from background file 'miniexExample_expressedGenes.txt')
set_id	ftr_id	p-val	q-val	enr_fold	set_size	ftr_size	ftr_ic	n_hits	hits
AT1G08010_Cluster_11	GO:0051253	0.0259258	0.0375644	4.60596	148	22	0.579148	3	AT3G15210,AT3G19580,AT1G30650
AT1G08010_Cluster_11	GO:1902679	0.0259258	0.0375644	4.60596	148	22	0.579148	3	AT3G15210,AT3G19580,AT1G30650
AT1G08010_Cluster_11	GO:0010628	0.00820978	0.0153654	13.5108	148	5	0.780871	2	AT1G33280,AT2G40470
AT1G08010_Cluster_11	GO:0048829	9.95509e-05	0.000432289	25.3328	148	4	0.811253	3	AT1G33280,AT2G38120,AT4G30080
AT1G08010_Cluster_11	GO:0009753	0.0111053	0.0193729	4.5036	148	30	0.536919	4	AT3G15210,AT4G14940,AT2G39770,AT5G56980
AT1G08010_Cluster_11	GO:0070542	0.0111053	0.0193729	4.5036	148	30	0.536919	4	AT3G15210,AT4G14940,AT2G39770,AT5G56980
AT1G08010_Cluster_11	GO:0009636	0.0107275	0.0188166	6.33319	148	16	0.622506	3	AT5G44070,AT1G45145,AT2G21045
AT1G08010_Cluster_11	GO:0006828	0.00502326	0.0104051	16.8885	148	4	0.811253	2	AT3G13320,AT1G80830
AT1G08010_Cluster_11	GO:0045927	0.00820978	0.0153654	13.5108	148	5	0.780871	2	AT3G05500,AT5G65810
AT1G08010_Cluster_11	GO:0016129	0.00502326	0.0104051	16.8885	148	4	0.811253	2	AT2G45400,AT1G50430
AT1G08010_Cluster_11	GO:0016132	0.00502326	0.0104051	16.8885	148	4	0.811253	2	AT2G45400,AT1G50430
AT1G08010_Cluster_11	GO:0120178	0.00502326	0.0104051	16.8885	148	4	0.811253	2	AT2G45400,AT1G50430
AT1G08010_Cluster_11	GO:0006084	9.95509e-05	0.000432289	25.3328	148	4	0.811253	3	AT1G60810,AT5G49460,AT4G11820
AT1G08010_Cluster_11	GO:0006085	0.000870762	0.00263242	33.777	148	2	0.905626	2	AT1G60810,AT5G49460
AT1G08010_Cluster_11	GO:0006637	0.000243467	0.000918417	20.2662	148	5	0.780871	3	AT1G60810,AT5G49460,AT4G11820
AT1G08010_Cluster_11	GO:0033865	0.000243467	0.000918417	20.2662	148	5	0.780871	3	AT1G60810,AT5G49460,AT4G11820
AT1G08010_Cluster_11	GO:0033866	0.0025614	0.00618323	22.518	148	3	0.850421	2	AT1G60810,AT5G49460
AT1G08010_Cluster_11	GO:0033875	0.000243467	0.000918417	20.2662	148	5	0.780871	3	AT1G60810,AT5G49460,AT4G11820
AT1G08010_Cluster_11	GO:0034030	0.0025614	0.00618323	22.518	148	3	0.850421	2	AT1G60810,AT5G49460
AT1G08010_Cluster_11	GO:0034032	0.000243467	0.000918417	20.2662	148	5	0.780871	3	AT1G60810,AT5G49460,AT4G11820
AT1G08010_Cluster_11	GO:0034033	0.0025614	0.00618323	22.518	148	3	0.850421	2	AT1G60810,AT5G49460
AT1G08010_Cluster_11	GO:0035383	0.000243467	0.000918417	20.2662	148	5	0.780871	3	AT1G60810,AT5G49460,AT4G11820
AT1G08010_Cluster_11	GO:0035384	0.000870762	0.00263242	33.777	148	2	0.905626	2	AT1G60810,AT5G49460
